,0,1,2
28,EOGVerticalSignal,28,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.08925919005076913, 0.14104543924251695, 2.7531981151607314, 0.6662747931674, 0.03038674033149171, 0.4630687714409547, 0.28300388308786684, 0.0, 0.12855651173146718, 0.09402571312352788, 3.5848853314366647, 0.18581663268466828, 0.1762000635858276, 30324.77588743779, 245996.4984523199, 82825410.27878867, 388443028.7561889, 7.758049677143679, 0.08333333333333333, 0.000899639429943277, nan, nan, 2337.886637222529, nan, nan, 32.90909090909091, 506.87890727670134, 2015.899037956253, 5.875997551221107, 0.5944439493318381, 15.172298021271816, 37.18877516773623, 8.195287689458741, 316.76855903820905, 1268.3286211235436, 33056.34635052787, 153669.0480993377, 705.4644900543013, 3021.1231907254, 354.0410344166457, 1366.020495605719, -55.70639742108338, 182.62114771869759, 0.46208589537628875, 0.21403558376339427, 22, 0, 0, 12, 0.06926406926406926, 11, 724, 0.0, 22, 14, 4.958195527519249, nan, 3.159671536350297, 33112.05274794895, 153641.7296701438, 3.692482010953987, 1991.4755664956697, 9089.259956334823, nan, 0.7640644874567727, 3.519614471851019, 0.010035456444922696, 0.02304013605722279, 369.0440001553315, 1454.595828813009, 82825410.2787886, 388441296.47531223, 0.008930357446822712])"
29,EthanolLevel,29,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.11213315722073691, 0.1819947566243939, 2.6669672195695453, 1.1695596379671023, 0.021912350597609563, 0.30220873622854666, 0.1919197989042457, 0.0, 0.07200765028291602, 0.1740809467200966, 1.9999885501908103, nan, nan, 12.21661215364081, 81.52336279835889, 2577.6179555791864, 11905.970943997092, 84.12104155574585, 0.25, 0.0011501001378279388, nan, nan, 25.705975829365865, nan, nan, 45.63636363636363, 25.506819035504883, 101.6477608211392, 4.643180641526055, 1.1577590311084838, nan, nan, 0.4511826283076629, 2.5190659937548174, 5.725153670468706, 118.53336047143047, 243.6482739494425, 94.54561653115978, 213.32255566397967, 86.02329191933337, 212.40081908063587, 78.04793237625252, 201.72200296605558, 0.023775128234300877, 0.017270691379135304, 22, 0, 0, 4, 0.10822510822510822, 3, 1004, 4.0, 22, 16, 111.17467234190795, nan, 0.3476567791814581, 40.485428095177944, 120.13112683640463, 0.37002385060235227, 13.315061601916993, 50.146070435497485, nan, nan, nan, 0.14675870420573245, 0.34752587498983545, 92.38145892768198, 212.241203927864, 2577.6179555791805, 11899.717659793183, 0.6742437795529325])"
30,FaceAll,30,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.0701255080723208, 0.09180964367440873, 3.3404353603882155, 0.6149479383496076, 0.009777777777777778, 0.4773428597081367, 0.25420143949604695, 0.0, 0.10114766878489459, 0.04840817121603512, 3.6717332003082004, 0.3097360675839896, 0.24572245223492928, 0.22295651490099297, 0.7926000973920521, 2.6312039598682357, 7.989434370892876, 6.2020724062446, 0.07142857142857142, 0.032377370579271245, nan, nan, 2.881731062253786, nan, nan, 102.27272727272727, 1.0876416556580326, 2.282040666398249, 6.420151415490034, 0.5855532181712656, 6.782434257710644, 16.33878352970147, 11.308092341724716, 0.8708580337160927, 1.703989348218908, 7.064760193099474, 12.39904814861942, 2.474047018741298, 4.475311655716606, 2.409169193193439, 4.360276155015033, 0.4955284868129683, 2.518954952243642, 0.5920171452063813, 0.2352766883860352, 22, 0, 0, 14, 0.22943722943722944, 13, 2250, 0.0, 22, 21, 4.642463883750725, nan, 3.7375511363887917, 6.569231706286504, 10.597453622305412, 4.677891740307396, 0.8356529117832572, 1.4230005146691294, nan, 0.6247800716685075, 1.5842340067976193, 0.023942738324900573, 0.03190329271693875, 2.4428641384440226, 4.388449556733067, 2.6312039598682344, 6.998324947896573, 0.0029135569934879107])"
31,FaceFour,31,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.09192438750060002, 0.09266357705777174, 1.8848153877389622, 0.41186496947474754, 0.19642857142857142, 0.7837002775007141, 0.17964816905835967, 0.0, 0.15710785967820168, 0.09467777160377187, 1.9828491753643427, 0.29074348546245293, 0.23767968033725678, 0.9574057846193302, 4.267568715450052, 13.30767620162573, 37.09538584781204, 5.531553553863094, 0.25, 0.04434423936235517, nan, nan, 12.647453863178903, nan, nan, 5.090909090909091, 1.7952605128632408, 4.223610194754085, 3.509203028553111, 0.4019562141415377, 4.2078003943394915, 7.157367862673576, 8.569543517135417, 0.8631786870814616, 1.8329040685350466, 11.57448047065372, 21.59400769595792, 4.866282646380742, 10.430869722302623, 4.979150791859646, 11.246920598515818, 2.279303264256168, 4.811304418257235, 0.3584615345501938, 0.21928245623539946, 22, 0, 0, 4, 0.22077922077922077, 3, 112, 2.0, 22, 16, 4.2580687356150335, nan, 1.907105304156131, 9.29517720639755, 17.095843175193316, 5.395543333631567, 1.7717754570536108, 3.2638476745135696, nan, 0.5476736324164085, 1.9033934308481733, 0.03165217736187465, 0.07013370549378728, 4.842358317790595, 10.732218308030735, 13.30767620162573, 30.93491930291215, 0.028302220129441027])"
32,FacesUCR,32,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.061659255475045006, 0.0825444533579686, 3.262286078063618, 0.7126587025573143, 0.009777777777777778, 0.4643838449876183, 0.2550371576126793, 0.0, 0.10042077464225924, 0.049945490899811186, 3.6717332003082004, 0.28621315801442115, 0.259894249579081, 0.21061446976562745, 0.7854694762328477, 2.6601114008312803, 8.00447644791937, 6.516801106479346, 0.07142857142857142, 0.032377370579271245, nan, nan, 2.6063794109127163, nan, nan, 102.27272727272727, 1.1474230247011143, 2.330612932405413, 6.370593582188217, 0.6590379759370784, 5.468645207697402, 8.64142093568005, 10.41629847795334, 0.8487152076749003, 1.7130114043498257, 7.282660346727264, 12.182657721873028, 2.5469303878482212, 4.363252941160307, 2.502007693477003, 4.306492735363386, 0.8018612151718029, 1.8972272950342848, 0.563425696183603, 0.23847500902248223, 22, 0, 0, 14, 0.21212121212121213, 13, 2250, 0.0, 22, 22, 4.790091045120774, nan, 3.5840080424691507, 6.48079913155546, 10.492448066742122, 4.316985425401744, 0.834982007426516, 1.4340113876534608, nan, 0.5295510212752025, 1.5832564265107019, 0.02420129107612135, 0.03209011005042058, 2.500420111493782, 4.283392574521777, 2.6601114008312825, 7.04140220084754, 0.003953146456672695])"
33,FiftyWords,33,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.09778913710387784, 0.10632839885912013, 3.1194764869778666, 0.14011559482736188, 0.02430939226519337, 0.46683911054152794, 0.24826279009650154, 0.0, 0.20975913679925628, 0.06894497983624497, 5.068686544024466, 0.3067891238238218, 0.282555424290944, 12.939538898789417, 51.51570668681921, 124.80872773011069, 376.34095923156553, 4.82556423261344, 0.02, 0.022717976266178778, nan, nan, 21.53771050954476, nan, nan, 41.13636363636363, 8.542052526967588, 17.31805477274501, 7.137780878845309, 0.3043645896065429, 10.487968959289692, 24.436965523414504, 27.026976910058195, 5.85888262134582, 11.736519879193628, 33.06034054254815, 60.998039891647586, 10.778125074641498, 18.797198099666122, 10.449761319418807, 18.295236239309876, 1.6123936054752515, 3.7842197745378643, 1.0503821521570247, 0.27304169432986536, 22, 0, 0, 50, 0.2813852813852814, 22, 905, 0.0, 22, 16, 1.9698490978467489, nan, 6.088975284763001, 31.44794693707289, 57.52107653825454, 14.76806074323268, 5.4804299569866135, 9.964268388231346, nan, 0.8863600582656694, 2.6399133784829143, 0.008863949511550735, 0.01269915827908439, 10.247455540715537, 17.838393012826227, 124.80872773011066, 282.5184480352016, 4.09642385010217e-05])"
34,Fish,34,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.04916802273738219, 0.041703096083882674, 2.082258536622889, 1.111277262599355, 0.06285714285714286, 0.6758871302685904, 0.17725495730713198, 0.0, 0.12433093957351846, 0.09782037059251464, 2.8073549220576037, 0.2436035278487488, 0.29803221936542534, 0.16423576065799217, 0.9806615091488411, 12.368379855862583, 51.52401783465439, 8.286092615071198, 0.14285714285714282, 2.997944808332385e-17, nan, nan, 12.653046164683818, nan, nan, 15.909090909090908, 1.4103641274352294, 3.721852347135, 4.5508102310951015, 0.9467640933323342, 114.74707874719962, 151.99356044672808, 8.783006782161662, 1.0732265544392567, 2.9537334847290624, 21.882816451666827, 42.111013533922005, 17.964244227254593, 35.728116762629476, 17.926603148047597, 35.6837244840715, 12.486419337800989, 29.646407655275333, 0.3388032275853921, 0.19682203755921188, 22, 3, 0, 7, 0.18614718614718614, 6, 350, 0.0, 22, 20, 5.1459229637889905, nan, 2.898037076626028, 9.396397113865834, 17.463002208321733, 4.668878287806448, 1.3266323034613678, 3.3337051096487214, nan, -1.2530740008196337, 10.613156341379048, 0.0968492486335632, 0.17136383056940616, 17.944540833205824, 35.710062122123006, 12.368379855862573, 51.31340230039826, 0.010231134307923337])"
35,FordA,35,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.06448846563243064, 0.11595859423046562, 3.503204817862606, 0.78974781413832, 0.004470636049583418, 0.6537662944043785, nan, 0.0, 0.01511734558985988, 0.019028304859382044, 0.9994730201859837, 0.2617671732089959, 0.30811368545172063, 0.1030059607258105, 0.410408985009722, 1.4848566307194309, 3.8192638625208333, 8.839989285210219, 0.5, 0.01911099408612287, nan, nan, 1.6191271135838934, nan, nan, 223.6818181818182, 0.880061390852724, 1.4571792353836808, 4.389615142162956, 0.8043854185420257, 1.1583993636441907, 1.8684289103844474, 0.746451461200618, 0.6470425733105466, 1.0328886049938804, 6.7896473757484905, 11.960234971166232, 3.8916696473238135, 6.963523987730286, 3.9588556970293665, 7.027621670488132, 1.9049144538097473, 3.6909170167807455, 0.11306269588563374, 0.1054936895485931, 22, 0, 0, 2, 0.22510822510822512, 1, 4921, 0.0, 22, 21, 29.984621323784825, nan, 0.4274103676992325, 4.884732921938742, 8.47447776771763, 0.746451461200618, 0.6558205973492282, 1.051181454270849, nan, 0.008457327685776587, 0.8438636747562533, 0.028652202237800697, 0.04255263932904261, 3.9222821275789554, 7.017154429343669, 1.4848566307194309, 3.2655491340355733, 0.5725896323007675])"
36,FordB,36,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.04021886655844127, 0.09463931685851204, 3.4865961505182796, 0.7378370670150974, 0.004948268106162843, 0.679185548080141, nan, 0.0, 0.015650366858770873, 0.021631914428560547, 0.9997892080780695, 0.24448514451623757, 0.29824428199612835, 0.08583974333883834, 0.33913708744054655, 1.4796131183607366, 3.799686948591656, 9.974829404929155, 0.5, 0.012087295404898245, nan, nan, 1.8253955631119958, nan, nan, 202.0909090909091, 0.7694000334019414, 1.2737816224870098, 4.386154149871717, 0.7571466067820054, 0.8380931761886348, 1.4408290773897643, 0.8562966811060885, 0.6317429052170381, 1.0363433141794152, 6.516965364088989, 11.616196594668585, 3.6952882746366567, 6.590852435964248, 3.6687581440203036, 6.565067403219356, 1.766213922035825, 3.4680961191662205, 0.10023120872463386, 0.09838565563977122, 22, 0, 0, 2, 0.19047619047619047, 1, 4446, 0.0, 22, 21, 33.78553431493616, nan, 0.4612930087209215, 4.750751442053164, 8.308587127144913, 0.8562966811060885, 0.6348342354066374, 1.0620099869981714, nan, 0.10035137524642677, 0.6827622885331676, 0.030913076129121662, 0.044642019475393216, 3.6842678692533757, 6.553661526989563, 1.4796131183607377, 3.428725893776195, 0.5387069912790785])"
37,FreezerRegularTrain,37,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.14961609215167043, 0.14794863321940682, 2.980519085385181, 1.1368327605265152, 0.007333333333333333, 0.9626031642803616, nan, 0.0, 0.07633230894544334, 0.10815275932040871, 1.0, 0.24687322177098847, 0.21910862599935377, 15.33500991761826, 127.33891126790064, 271.2023587593651, 1018.5690164755458, 3.9535700749792744, 0.5, 0.0, nan, nan, 69.45171718722251, nan, nan, 136.36363636363637, 11.122004217066292, 28.894368136000523, 3.7275831360950344, 1.0648425926196066, 267.03213464508644, 658.842929896252, 12.624878832589332, 2.7867417317472967, 9.779816892797811, 31.625185172950907, 68.50967177507289, 19.15751512681042, 47.28231794929176, 17.502199189945756, 44.89355242103648, 1.082311917576992, 4.158350105617572, 0.2529359492901469, 0.20206707262956156, 22, 0, 0, 2, 0.13852813852813853, 1, 3000, 0.0, 22, 16, 10.783691063883449, nan, 0.9266048518825649, 30.54287325537391, 65.5297759226799, 12.624878832589332, 6.3172679343086875, 15.566261840338354, nan, 1.4789547068055782, 16.008642403988954, 0.030214584816625336, 0.0459657929647948, 18.835166055679817, 46.91307061636414, 271.2023587593654, 822.8725339812069, 0.0733951481174351])"
38,FreezerSmallTrain,38,"(['attr_conc.mean', 'attr_conc.sd', 'attr_ent.mean', 'attr_ent.sd', 'attr_to_inst', 'can_cor.mean', 'can_cor.sd', 'cat_to_num', 'class_conc.mean', 'class_conc.sd', 'class_ent', 'cor.mean', 'cor.sd', 'cov.mean', 'cov.sd', 'eigenvalues.mean', 'eigenvalues.sd', 'eq_num_attr', 'freq_class.mean', 'freq_class.sd', 'g_mean.mean', 'g_mean.sd', 'gravity', 'h_mean.mean', 'h_mean.sd', 'inst_to_attr', 'iq_range.mean', 'iq_range.sd', 'joint_ent.mean', 'joint_ent.sd', 'kurtosis.mean', 'kurtosis.sd', 'lh_trace', 'mad.mean', 'mad.sd', 'max.mean', 'max.sd', 'mean.mean', 'mean.sd', 'median.mean', 'median.sd', 'min.mean', 'min.sd', 'mut_inf.mean', 'mut_inf.sd', 'nr_attr', 'nr_bin', 'nr_cat', 'nr_class', 'nr_cor_attr', 'nr_disc', 'nr_inst', 'nr_norm', 'nr_num', 'nr_outliers', 'ns_ratio', 'num_to_cat', 'p_trace', 'range.mean', 'range.sd', 'roy_root', 'sd.mean', 'sd.sd', 'sd_ratio', 'skewness.mean', 'skewness.sd', 'sparsity.mean', 'sparsity.sd', 't_mean.mean', 't_mean.sd', 'var.mean', 'var.sd', 'w_lambda'], [0.1950656887062144, 0.20178371802712428, 2.9860600449455514, 1.1297688841052296, 0.007644197359277276, 0.9629233926633497, nan, 0.0, 0.07697609022997637, 0.10851355712422152, 1.0, 0.24767711159950184, 0.21965709515564608, 15.413249613689976, 127.9018970297911, 270.8492814818365, 1019.8004945976277, 3.9234128937991763, 0.5, 0.0, nan, nan, 69.87986612577113, nan, nan, 130.8181818181818, 11.123467711183267, 28.893959800025623, 3.7311799119928195, 1.05832811197736, 257.7209538021987, 632.8069312946714, 12.740314135186336, 2.7887999286411573, 9.780550016688863, 31.624276082041817, 68.51010681453457, 19.158423745539633, 47.29679040352069, 17.501998934186375, 44.893454993023425, 1.082311917576992, 4.158350105617572, 0.25488013295273276, 0.20166421646142366, 22, 0, 0, 2, 0.13852813852813853, 1, 2878, 0.0, 22, 16, 10.715546481997924, nan, 0.9272214601382955, 30.54196416446482, 65.53021511210886, 12.740314135186336, 6.313784666948527, 15.55585772772145, nan, 1.4465460566628143, 15.731824362513358, 0.03022606105027262, 0.045952702996744345, 18.837807257162545, 46.920561193961035, 270.84928148183684, 822.4529416339172, 0.07277853986170445])"
